ID,English Line,Foreign Line,Line number - Do not touch!,T/F Condition
gsdfg,fadfs,asdfa,dsfas,y
General Sargas Ruk,General Sargas Ruk,General Sargas Ruk,598,t
Phorid,Phorid,Phorid,607,t
Alchemist ,Alchemist ,Alchemist ,618,t
Control Freak ,Control Freak ,Control Freak ,694,t
General Sargas Ruk,General Sargas Ruk,General Sargas Ruk,598,t
Phorid,Phorid,Phorid,607,t
Alchemist ,Alchemist ,Alchemist ,618,t
Control Freak ,Control Freak ,Control Freak ,694,t
General Sargas Ruk,General Sargas Ruk,General Sargas Ruk,598,t
Phorid,Phorid,Phorid,607,t
Alchemist ,Alchemist ,Alchemist ,618,t
Control Freak ,Control Freak ,Control Freak ,694,t
General Sargas Ruk,General Sargas Ruk,General Sargas Ruk,598,t
Phorid,Phorid,Phorid,607,t
Alchemist ,Alchemist ,Alchemist ,618,t
Control Freak ,Control Freak ,Control Freak ,694,t
