ID,English Line,Foreign Line,Line number - Do not touch!,T/F Condition
ModInstalledWarning,This mod is currently attached to at least one item in your inventory. It will be automatically unattached if you trade it.,Este mod está actualmente conectado a al menos un artículo en tu inventario. Será desconectado de dicho objeto automáticamente si lo intercambias.,1549,
ModPathLightADesc,"An inset, stone lantern.",Linterna incrustada en piedra.,1550,
TradeModDesc,|MOD| (|RARITY| RANK |X|),|MOD| (|RARITY| RANGO |X|),1761,
Boss_WeaponModInsult,A |PLAYER_WEAPON| with only |PLAYER_WEAPON_MODCOUNT|? I do not think |PLAYER_NAME| will last long!,¿Un |PLAYER_WEAPON| con solo |PLAYER_WEAPON_MODCOUNT|? ¡No creo que |PLAYER_NAME| dure mucho tiempo!,2102,
BowModConvertAmmo,Arrow Mutation,Mutación de Flecha,3325,
BowModConvertAmmoDesc,Convert unused ammo drops into Arrows,Convierte la munición hallada no utilizada en Flechas.,3326,
ChannelCritsMod,True Punishment,Castigo Verdadero,3365,
ChannelMeleeModFireRate,Quickening,Aceleración,3367,
ChannelParryStaminaRedMod,Warrior's Grip,Agarre del Guerrero,3368,
ChannelStatusMod,Enduring Strike,Ataque Duradero,3369,
ChannelVampireMod,Life Strike,Ataque Vital,3370,
ElectEventMeleeMod,Voltaic Strike,Golpe Voltaico,3655,
ElectEventPistolMod,Jolt,Sacudida,3656,
ElectEventRifleMod,High Voltage,Alto Voltaje,3657,
ElectEventShotgunMod,Shell Shock,Cartucho Eléctrico,3658,
EventSniperModReloadDamage,Primed Chamber,Cámara Preparada,3699,
ImpactDamageMeleeMod,Heavy Trauma,Trauma Pesado,4017,
ImpactDamagePistolMod,Concussion Rounds,Rondas Conmocionantes,4018,
ImpactDamageRifleMod,Rupture,Ruptura,4019,
ImpactDamageShotgunMod,Disruptor,Interruptor,4020,
InfernoModDesc,Incendiary Rifle Mod.,Mod Rifle Incendiario.,4028,
MeleeModArmorPiercing,Sundering Strike,Golpe Rompedor,4191,
MeleeModChargeRate,Reflex Coil,Espiral de Reflejo,4192,
MeleeModCorruptedDamageSpeed,Spoiled Strike,Golpe Podrido,4193,
MeleeModCorruptedHeavyDamageChargeSpeed,Corrupt Charge,Ataque Corrupto,4194,
MeleeModCritChance,True Steel,Acero Verdadero,4195,
MeleeModCritDamage,Organ Shatter,Destructor de Órganos,4196,
MeleeModCritFireRateBonus,Berserker,Berserker,4197,
MeleeModDamageAmount,Pressure Point,Punto de Presión,4198,
MeleeModElectricityDamage,Shocking Touch,Toque Eléctrico,4199,
MeleeModFactionDamageCorpus,Smite Corpus,Castiga Corpus,4200,
MeleeModFactionDamageGrineer,Smite Grineer,Castiga Grineer,4201,
MeleeModFactionDamageInfested,Smite Infested,Castiga Infestados,4202,
MeleeModFinisherDamage,Finishing Touch,Toque Final,4203,
