Data Set,ID,Line,Spanish Line,
/Game/,AVATAR_ABILITY,MODed,PODER,
/Game/,AVATAR_ABILITY_DURATION,ZOOMed,DURACIÓN DEL PODER,
/Game/,AVATAR_ABILITY_EFFICIENCY,POWER EFFICIENCY,EFICIENCIA DEL PODER,
/Game/,AVATAR_ABILITY_RANGE,POWER RANGE,ALCANCE DEL PODER,
/Game/,AVATAR_ABILITY_STRENGTH,POWER STRENGTH,FUERZA DEL PODER,
/Game/,AVATAR_ARMOUR,ARMOR,ARMADURA,
/Game/,AVATAR_ATTACK,ATTACK,ATAQUE,
/Game/,AVATAR_AURA_EFFECTIVENESS_ON_ME,AURA EFFECTIVENESS,EFECTIVIDAD DEL AURA,
/Game/,AVATAR_AURA_STRENGTH,AURA STRENGTH,FUERZA DEL AURA,
/Game/,AVATAR_AUTO_PARRY_CHANCE,AUTO PARRY CHANCE,PROBABILIDAD DE AUTO BLOQUEO,
/Game/,AVATAR_CASTING_SPEED,Phorid,VELOCIDAD DE INVOCACIÓN,
/Game/,AVATAR_CHARGED_ATTACK,CHARGED ATTACK,ATAQUE CARGADO,
/Game/,AVATAR_DAMAGE_POWER_MULTIPLIER,DAMAGE ON HEALTH TO ENERGY,DAÑO EN SALUD A ENERGÍA,
/Game/,AVATAR_DAMAGE_RESISTANCE,DAMAGE RESISTANCE,RESISTENCIA AL DAÑO,
/Game/,AVATAR_DROP_CHANCE_MODIFIER,Drop Chance,PROBABILIDAD DE HALLAZGO,
/Game/,AVATAR_ENEMY_RADAR,ENEMY RADAR,RADAR ENEMIGO,
/Game/,AVATAR_EVADE_NPC_BULLET,EVASION,EVASIÓN,
/Game/,AVATAR_EXPLOSION_DAMAGE,EXPLOSION DAMAGE,DAÑO DE EXPLOSIÓN,
/Game/,AVATAR_EXPLOSION_RADIUS,EXPLOSION RADIUS,RADIO DE EXPLOSIÓN,
/Game/,AVATAR_FALL_IMPACT_AMOUNT,FALL IMPACT DAMAGE,DAÑO DE IMPACTO DE CAÍDA,
/Game/,AVATAR_FALL_IMPACT_RADIUS,FALL IMPACT RADIUS,RADIO DE IMPACTO DE CAÍDA,
/Game/,AVATAR_GROUNDFIRE_DAMAGE_MODIFIER,Damage During Bleedout,DAÑO DURANTE DESANGRADO,
/Game/,AVATAR_HEAL_RATE,HEAL RATE,RITMO DE CURACIÓN,
/Game/,AVATAR_HEALTH_MAX,HEALTH,SALUD,
/Game/,AVATAR_INJURY_BLOCK_CHANCE,CHANCE TO RESIST,PROBABILIDAD DE RESISTIR,
/Game/,AVATAR_INVULNERABLE,INVULNERABILITY,INVULNERABILIDAD,
/Game/,AVATAR_JOG_SPEED,RUN SPEED,VELOCIDAD AL CORRER,
/Game/,AVATAR_KNOCKDOWN_RECOVERY_SPEED,KNOCKDOWN RECOVERY,RECUPERACIÓN AL CAER,
/Game/,AVATAR_LEAP_ATTACK,LEAP ATTACK,ATAQUE DE SALTO,
/Game/,AVATAR_LOOT_RADAR,LOOT RADAR,RADAR DE SAQUEO,
/Game/,AVATAR_MOVEMENT_SPEED,SPEED,VELOCIDAD,
/Game/,AVATAR_POWER_MAX,WEAPON_LONG_GUN,PODER MÁXIMO,
/Game/,AVATAR_POWER_RATE,POWER RATE,NIVEL DE PODER,
/Game/,AVATAR_RESPAWN_TIME,RESPAWN TIME,TIEMPO DE REAPARICIÓN,
/Game/,AVATAR_REVENGE_DAMAGE_AMOUNT,REVENGE DAMAGE DEALT,DAÑO POR VENGANZA,
/Game/,AVATAR_REVENGE_DAMAGE_CHANCE,CHANCE TO DAMAGE,PROBABILIDAD DE DAÑO,
/Game/,AVATAR_REVIVE_SPEED,REVIVE SPEED,VELOCIDAD DE RESURRECCIÓN,
/Game/,AVATAR_SHIELD,SHIELD,ESCUDO,
/Game/,AVATAR_SHIELD_MAX,SHIELD CAPACITY,CAPACIDAD DEL ESCUDO,
/Game/,AVATAR_SHIELD_RECHARGE_DELAY,SHIELD RESPONSIVENESS,RESPUESTA DEL ESCUDO,
/Game/,AVATAR_SHIELD_RECHARGE_RATE,SHIELD RECHARGE,RECARGA DEL ESCUDO,
/Game/,AVATAR_SHIELD_TO_STAMINA_RATIO,SHIELD TO STAMINA,ESCUDO A AGUANTE,
/Game/,AVATAR_SLIDE_BOOST,SLIDE,DESLIZAR,
/Game/,AVATAR_SLOT_CHASIS,CHASSIS UPGRADE SLOT,RANURA DE MEJORA DEL CHASIS,
/Game/,AVATAR_SLOT_DEFENSE,DEFENSE UPGRADE SLOT,RANURA DE MEJORA DE DEFENSA,
/Game/,AVATAR_SLOT_OFFENSE,OFFENSE UPGRADE SLOT,RANURA DE MEJORA DE ATAQUE,
/Game/,AVATAR_SLOT_SENSOR,SENSOR UPGRADE SLOT,RANURA DE MEJORA DEL SENSOR,
/Game/,AVATAR_SPIN_ATTACK,SPIN ATTACK,ATAQUE CIRCULAR,
/Game/,AVATAR_SPRINT_SPEED,SPRINT SPEED,VELOCIDAD AL ESPRINTAR,
/Game/,AVATAR_SPRINT_TIME,SPRINT TIME,TIEMPO DEL ESPRINTADO,
/Game/,AVATAR_STAMINA,STAMINA,AGUANTE,
/Game/,AVATAR_STAMINA_COST_MULTIPLIER,Tenno,REDUCCIÓN DE COSTE DE AGUANTE,
/Game/,AVATAR_STAMINA_MAX,STAMINA MAX,AGUANTE MÁXIMO,
/Game/,AVATAR_STAMINA_RECHARGE_RATE,STAMINA RECHARGE,RECARGA DEL AGUANTE,
/Game/,AVATAR_STUN_TIME,STUN TIME,TIEMPO DEL ATURDIMIENTO,
/Game/,AVATAR_TIME_LIMIT_INCREASE,SECONDS,SEGUNDOS,
/Game/,AVATAR_TIME_TO_CLOAK,CLOAK TIME,TIEMPO DEL CAMUFLAJE,
/Game/,AVATAR_WALL_ATTACK,Ceres,ATAQUE DE PARED,
/Game/,COMMON,Darvo,Común,
/Game/,COMMONUpper,COMMON,COMÚN,
/Game/,Expend,Expend,Gastar,
/Game/,GAMEPLAY_BULLET_KILL_POWER_AMOUNT,BULLET KILL POWER AMOUNT,CANTIDAD DE PODER POR MUERTE DE BALA,
/Game/,GAMEPLAY_BULLET_KILL_XP_AMOUNT,BULLET KILL XP AMOUNT,CANTIDAD DE EXP POR MUERTE DE BALA,
/Game/,GAMEPLAY_DAMAGE_TO_POWER,Dojo,DAÑO A PODER,
/Game/,GAMEPLAY_ENEMY_AVATAR_XP_REWARD,ENEMY KILL XP AMOUNT,CANTIDAD DE EXP POR MUERTE ENEMIGA,
